session_id,administrative,informational,product_related
2,0.0,0.0,64.0
4,0.0,0.0,2.666666667
5,0.0,0.0,627.5
6,0.0,0.0,154.2166667
9,0.0,0.0,37.0
10,0.0,0.0,738.0
11,0.0,0.0,395.0
12,0.0,0.0,407.75
13,0.0,0.0,280.5
14,0.0,0.0,98.0
15,0.0,0.0,68.0
16,53.0,0.0,1668.285119
18,0.0,0.0,334.9666667
19,0.0,0.0,32.0
20,0.0,0.0,2981.166667
21,0.0,0.0,136.1666667
23,0.0,0.0,105.0
24,0.0,0.0,15.0
26,0.0,0.0,156.0
27,64.6,0.0,1135.444444
28,0.0,0.0,76.0
29,0.0,0.0,63.0
30,6.0,0.0,1582.75
31,0.0,0.0,35.0
32,0.0,0.0,78.0
33,0.0,0.0,209.5
34,0.0,0.0,183.6666667
35,0.0,0.0,380.5
36,0.0,0.0,2086.242857
37,0.0,0.0,388.0
38,18.0,0.0,298.0
39,0.0,0.0,63.0
40,0.0,0.0,482.0
41,9.0,0.0,4084.393939
42,0.0,0.0,22.0
43,0.0,0.0,310.1666667
44,0.0,0.0,34.0
45,0.0,0.0,88.0
46,0.0,0.0,622.25
47,0.0,0.0,222.4
48,0.0,0.0,80.0
49,0.0,0.0,800.8333333
52,0.0,0.0,265.1666667
53,0.0,0.0,29.0
54,0.0,0.0,160.0
55,0.0,0.0,135.6666667
58,56.0,120.0,998.7416667
59,0.0,0.0,104.0
60,16.0,0.0,381.6865079
61,0.0,0.0,169.0
62,0.0,0.0,400.8
63,279.4166667,0.0,1553.583333
64,0.0,0.0,706.5
66,87.83333333,0.0,798.3333333
67,44.0,0.0,6951.972222
69,0.0,0.0,902.0
72,0.0,0.0,197.3777778
73,0.0,0.0,43.0
74,0.0,0.0,426.6666667
75,0.0,0.0,135.0
76,0.0,0.0,588.3333333
77,1005.666667,0.0,2111.341667
78,0.0,0.0,76.0
81,0.0,0.0,208.0
82,0.0,0.0,270.0
83,0.0,0.0,39.5
84,0.0,0.0,375.0
87,0.0,0.0,150.0
88,0.0,0.0,138.0
89,0.0,0.0,337.5
90,0.0,0.0,620.0333333
91,36.0,0.0,168.8461538
93,0.0,0.0,52.0
94,0.0,0.0,649.25
95,0.0,0.0,925.3333333
96,0.0,0.0,33.0
97,0.0,0.0,1566.5
98,0.0,0.0,105.0
99,0.0,0.0,50.0
100,0.0,0.0,644.2
101,18.33333333,0.0,2635.177778
102,61.0,0.0,607.0
103,0.0,0.0,415.0
104,31.0,16.0,2083.530952
105,58.5,0.0,281.6666667
106,0.0,0.0,27.0
107,0.0,0.0,215.0
108,0.0,0.0,162.0
109,0.0,0.0,114.0
110,326.25,94.0,5062.213753
111,0.0,0.0,253.0
114,22.0,0.0,436.5
115,0.0,93.0,1045.833333
116,0.0,0.0,317.8333333
